fecha,indec_publico_nacional,sinep,universitarios,defensa,seguridad_y_justicia,indice_salarial_calculado_variacion,indec_indice_base100,sinep_indice_base100,universitarios_indice_base100,defensa_indice_base100,seguridad_y_justicia_indice_base100,indice_salarial_calculado
2023-08-01,3.59,12,9.164620046118266,2.899936543239745,12.000000507977916,9.875935161450391,339.0197723334174,368.38974290868595,371.75067196836744,365.94516466561447,310.09031978724886,353.27758521540864
2023-09-01,5.28,11,9.997848832692968,0,10.000000080991356,8.88809211742083,356.92001631262184,408.91261462864145,408.9177421862851,365.94516466561447,341.0993520171201,384.54341844302036
2023-10-01,18.56,11,11.997881384705234,23.21010150451548,9.499999917167925,12.603665493143406,423.16437134024443,453.8930022377921,457.97920785481034,450.8814088353699,373.50379017620685,432.9409905912682
2023-11-01,5.58,10,8.998707368002389,5.5837333842041925,10.000000638786275,9.081399913810776,446.7769432610301,499.2823024615713,499.19141657596015,476.05742458368064,410.85417157971847,472.0720106341907
2023-12-01,10.81,9,5.499931025582838,19.323522125509207,12.499999847180332,10.345445316309783,495.07353082754753,544.2177096831127,526.6466001732679,568.0484863532375,462.2109423993173,520.1035670901166
2024-01-01,7.2,16,0,0,17.999999902195384,9.5082417317754,530.718825047131,631.2925432324107,526.6466001732679,568.0484863532375,545.4089115791307,567.8546519902885
2024-02-01,15.5,12,16.00005061571914,16.000037464233372,12.00000009209472,13.758262189177522,612.9802429294363,707.0476484203001,610.9103227669548,658.9364569847661,610.8579814709193,645.4890729973856
2024-03-01,9.29,8,11.999956365778397,11.999989234419184,7.9999999342180494,9.758227165784895,669.9261074975809,763.6114602939242,684.2192949330254,738.0087608846012,659.7266195867586,708.1385468217559
2024-04-01,5.53,2,8.000097397854011,7.999992790904997,6.999999920056665,5.990412749526988,706.9730212421971,778.8836894998027,738.9575049425774,797.0494085516166,705.9074824304242,749.7252860892839
2024-05-01,2.5,7,8.999974448116909,0,4.1999999242192665,5.860431888407529,724.6473467732519,833.4055477647889,805.4634915698516,797.0494085516166,735.5555961575602,793.4658019998659
2024-06-01,4.64,0,3.9999117473879187,9.139976047557784,4.203454880179902,3.615850177440798,758.2709836635308,833.4055477647889,837.681320390075,869.8995335804353,766.4743437606816,821.6872205624525
2024-07-01,1.98,3.5,7.500019888676457,0,3.49656865820005,4.206495001918788,773.2847491400688,862.5747419365565,900.5075860230583,869.8995335804353,793.274645437762,856.2071179644007
2024-08-01,3.97,3,2.0000912720486763,6.60500978317986,2.9999999873362215,3.2056743031541113,803.9841536809296,888.4519841946533,918.5185596552417,927.356482877259,817.0728847004364,883.5908436942044
2024-09-01,2.54,2,2.999955258839715,0,2.0000000891382763,2.019217395586948,824.4053511844253,906.2210238785464,946.0737054890379,927.356482877259,833.4143431227698,901.4144102797384
2024-10-01,1.68,1,6.799931438339124,2.0000152990437225,2.500000105471245,3.2828113115909674,838.2553610843236,915.2832341173319,1010.4060688184469,945.903754411478,854.2497025798515,931.5421150540933
2024-11-01,1.26,2,2.000090138714694,0,2.4999999522255623,1.8551093967420866,848.817378633986,933.5888987996785,1030.6151009618595,945.903754411478,875.6059447362347,948.6784391750365
2024-12-01,1.93,1,0.9999956892092321,8.171019284572957,2.000000091784271,2.2753338535103786,865.199554041622,942.9247877876753,1040.9212075438174,1023.1937325979394,893.118064434628,970.038424294455
2025-01-01,0.21,1.5,1.4999205064539112,0,1.7999999530392996,1.3709926664226577,867.0164731051094,957.0686596044903,1056.5341981917948,1023.1937325979394,909.1941891750367,983.1634043610312
2025-02-01,1.48,1.2,1.200012615112911,2.515000262155231,1.999999983426215,1.600731831826116,879.8483169070649,968.5534835197442,1069.2127418530783,1048.9270576551335,927.3780728078495,998.8148392453394
2025-03-01,3.18,1.3,1.3000503814970088,0,2.499999935681818,1.4425974869445963,907.8274933847097,981.1446788055008,1083.113046182554,1048.9270576551335,950.562524031573,1012.9004785862652
2025-04-01,2.67,1.3,1.299978465293239,0,2.200000051520612,1.361394664263031,932.0664874580814,993.8995596299723,1097.1932825377087,1048.9270576551335,971.4749000500033,1026.4726069585424
2025-05-01,1.54,1.3,1.2999988864672352,0,1.3000000330906536,1.1178568183636208,946.4203113649359,1006.8202539051618,1111.4567829930922,1048.9270576551335,984.1040740721207,1037.906201565267
2025-06-01,1.09,1.3,1.3000042970393366,11.894198832208858,1.5999999836669998,2.865534635195437,956.7362927588135,1019.9089172059289,1125.9057689317376,1173.6885274974732,999.8497390965409,1067.767675225729
2025-07-01,0.64,1.3,1.2999926999954559,0,1.8999999673460664,1.2802175853931104,962.8594050324699,1033.167733129606,1140.542461736678,1173.6885274974732,1018.8468838128849,1081.1342228912406
2025-08-01,2.96,1.3,1.2999622154963308,0,1.8999999065762552,1.2802084403485197,991.3600434214311,1046.5989136602907,1155.3690827909465,1173.6885274974732,1038.2049736534848,1094.7052753368496
2025-09-01,1.26,1.2,1.2000288399144354,0,2.099999890901083,1.2754206945176652,1003.851179968541,1059.1581006242143,1169.2338449918927,1173.6885274974732,1060.0072769675376,1108.3969791308916
2025-10-01,1.23,1.1,1.1000201385379382,0,2.3000000709602286,1.270610445302796,1016.198549482154,1070.8088397310805,1182.095652753405,1173.6885274974732,1084.3874450899746,1122.2226290809992
2025-11-01,1.27,1.1,1.099984214798999,0,5.330000061721973,2.0905310041008387,1029.1042710605773,1082.5877369681223,1195.0985183375176,1173.6885274974732,1142.1852965825756,1145.1706356172558
2025-12-01,1.04,2,2.0000092937234815,8.268413296761778,2.8000000285846927,3.09475300540193,1039.8069554796073,1104.2394917074848,1219.0005997734195,1270.7339457676417,1174.1664852133779,1180.8548400497525
2026-01-01,2.04,2.5,2.500011389365975,2.50000436130442,2.9000000381799618,2.6082457901872056,1061.0190173713913,1131.845479000172,1249.4757536041946,1302.5023498324085,1208.217313732862,1211.6471989602064
2026-02-01,0.59,2.2,2.2000030223484845,2.2000035401025464,2.8999999161263723,2.3894244552737978,1067.2790295738826,1156.7460795381758,1276.9642579469983,1331.1574476386404,1243.2556148177393,1240.592097243457
2026-03-01,5.79,2,1.999996520837577,2.000000666133972,0,1.458790260286067,1129.0744853862104,1179.8810011289393,1302.5034986782775,1357.7806054587052,1243.2556148177393,1258.6753184422435
2026-04-01,0,1.7,1.6999290523716182,1.7000130941041691,0,1.2399531167797226,1129.0744853862104,1199.9389781481311,1324.6451340604663,1380.86305354071,1243.2556148177393,1274.353229663028
2026-05-01,0,1.5,1.4999610105724148,1.5000117193432416,0,1.0940833731837871,1129.0744853862104,1217.938062820353,1344.514294599818,1401.5761611719017,1243.2556148177393,1288.421939610554
